the-secret-world-of-arrietty,0.894604
raiders!-the-story-of-the-greatest-fan-film-ever-made,0.891892
me-before-you,0.822365
up,0.822026
cuban-fury,0.821979
the-golden-compass,0.818219
planet-b-boy,0.814579
horses-of-god,0.802691
the-boys-of-baraka,0.798498
the-devils-miner,0.796943
transformers-the-last-knight,0.793269
hot-tub-time-machine,0.773822
still-life,0.773361
forever-strong,0.768598
pathology,0.766297
bee-movie,0.766108
let-the-right-one-in,0.765315
coraline,0.752686
the-orphanage,0.749596
laggies,0.747238
tron-legacy,0.744779
hoop-dreams,0.733673
spinning-plates,0.728529
guardians-of-the-galaxy-vol-2,0.723864
the-hobbit-the-battle-of-the-five-armies,0.712172
bratz,0.71191
the-emoji-movie,0.711178
night-at-the-museum-battle-of-the-smithsonian,0.707594
when-the-game-stands-tall,0.706032
how-to-train-your-dragon-2,0.703269
the-last-legion,0.700798
a-single-man,0.700753
the-game-plan,0.700347
maidentrip,0.695801
crazy-wisdom-the-life-times-of-chogyam-trungpa-rinpoche,0.687654
race-to-witch-mountain,0.68576
step-up-2-the-streets,0.68443
zoom,0.681655
zero-bridge,0.679224
epic-2013,0.673129
the-amazing-spider-man,0.67245
only-yesterday-1991,0.667356
quantum-of-solace,0.667311
the-year-my-parents-went-on-vacation,0.666692
treeless-mountain,0.664815
wish-i-was-here,0.663208
the-incredibles,0.657503
10000-bc,0.655945
the-boy,0.653879
step-brothers,0.648146
